Place_Name,Total_covid_count,State
bastar district,494723,chhattisgarh
kondagaon district,262629,chhattisgarh
mahasamund district,711477,chhattisgarh
dhamtari district,624812,chhattisgarh
korba district,1984429,chhattisgarh
surajpur district,676567,chhattisgarh
baloda bazar district,1079166,chhattisgarh
sukma district,238465,chhattisgarh
raigarh district,2064164,chhattisgarh
janjgir champa district,2192318,chhattisgarh
jashpur district,599900,chhattisgarh
balod district,653978,chhattisgarh
kabirdham district,551734,chhattisgarh
surguja district,1086420,chhattisgarh
dantewada district,318775,chhattisgarh
gariyaband district,417169,chhattisgarh
durg district,4913427,chhattisgarh
rajnandgaon district,1290120,chhattisgarh
raipur district,8570997,chhattisgarh
narayanpur district,126331,chhattisgarh
kanker district,634514,chhattisgarh
korea district,754942,chhattisgarh
mungeli district,363678,chhattisgarh
bilaspur district,2837963,chhattisgarh
balrampur district,578790,chhattisgarh
bijapur district,307460,chhattisgarh
bemetara district,520944,chhattisgarh
bastar district,738632,chhattisgarh
kondagaon district,369192,chhattisgarh
mahasamund district,1034749,chhattisgarh
dhamtari district,616731,chhattisgarh
korba district,2152362,chhattisgarh
surajpur district,737441,chhattisgarh
baloda bazar district,1102370,chhattisgarh
sukma district,226511,chhattisgarh
raigarh district,2237708,chhattisgarh
janjgir champa district,2237748,chhattisgarh
jashpur district,587229,chhattisgarh
balod district,645219,chhattisgarh
kabirdham district,571899,chhattisgarh
surguja district,1195343,chhattisgarh
dantewada district,315403,chhattisgarh
gariyaband district,396818,chhattisgarh
durg district,5455260,chhattisgarh
rajnandgaon district,1390205,chhattisgarh
raipur district,10625343,chhattisgarh
narayanpur district,109993,chhattisgarh
kanker district,619999,chhattisgarh
korea district,796358,chhattisgarh
mungeli district,383383,chhattisgarh
bilaspur district,3400745,chhattisgarh
balrampur district,597667,chhattisgarh
bijapur district,291788,chhattisgarh
bemetara district,518166,chhattisgarh
bastar district,779252,chhattisgarh
kondagaon district,360985,chhattisgarh
mahasamund district,1084511,chhattisgarh
dhamtari district,803714,chhattisgarh
korba district,2556656,chhattisgarh
surajpur district,913088,chhattisgarh
baloda bazar district,1461126,chhattisgarh
sukma district,300111,chhattisgarh
raigarh district,2634959,chhattisgarh
janjgir champa district,2835495,chhattisgarh
jashpur district,728879,chhattisgarh
balod district,826679,chhattisgarh
kabirdham district,771345,chhattisgarh
surguja district,1332917,chhattisgarh
dantewada district,405620,chhattisgarh
gariyaband district,533040,chhattisgarh
durg district,5360198,chhattisgarh
rajnandgaon district,1698948,chhattisgarh
raipur district,10882417,chhattisgarh
narayanpur district,137697,chhattisgarh
kanker district,765639,chhattisgarh
korea district,984343,chhattisgarh
mungeli district,530168,chhattisgarh
bilaspur district,3617926,chhattisgarh
balrampur district,750454,chhattisgarh
bijapur district,372315,chhattisgarh
bemetara district,684190,chhattisgarh
bastar district,956445,chhattisgarh
kondagaon district,469272,chhattisgarh
mahasamund district,1375779,chhattisgarh
dhamtari district,985124,chhattisgarh
korba district,3562384,chhattisgarh
surajpur district,1244377,chhattisgarh
baloda bazar district,1923490,chhattisgarh
sukma district,380899,chhattisgarh
raigarh district,3676121,chhattisgarh
janjgir champa district,3691134,chhattisgarh
jashpur district,962130,chhattisgarh
balod district,1006571,chhattisgarh
kabirdham district,957202,chhattisgarh
surguja district,2006253,chhattisgarh
dantewada district,499985,chhattisgarh
gariyaband district,677715,chhattisgarh
durg district,8289193,chhattisgarh
rajnandgaon district,2353407,chhattisgarh
raipur district,17276668,chhattisgarh
narayanpur district,167442,chhattisgarh
kanker district,987222,chhattisgarh
korea district,1325395,chhattisgarh
mungeli district,654791,chhattisgarh
bilaspur district,5603933,chhattisgarh
balrampur district,961639,chhattisgarh
bijapur district,469983,chhattisgarh
bemetara district,820436,chhattisgarh
bastar district,1337066,chhattisgarh
kondagaon district,603305,chhattisgarh
mahasamund district,1814073,chhattisgarh
dhamtari district,1248118,chhattisgarh
korba district,4813732,chhattisgarh
surajpur district,1620479,chhattisgarh
baloda bazar district,2428335,chhattisgarh
sukma district,491853,chhattisgarh
raigarh district,4987956,chhattisgarh
janjgir champa district,4713652,chhattisgarh
jashpur district,1283197,chhattisgarh
balod district,1261829,chhattisgarh
kabirdham district,1224202,chhattisgarh
surguja district,2774724,chhattisgarh
dantewada district,666756,chhattisgarh
gariyaband district,845852,chhattisgarh
durg district,10300130,chhattisgarh
rajnandgaon district,2897306,chhattisgarh
raipur district,23353982,chhattisgarh
narayanpur district,240761,chhattisgarh
kanker district,1324064,chhattisgarh
korea district,1688351,chhattisgarh
mungeli district,870531,chhattisgarh
bilaspur district,7784221,chhattisgarh
balrampur district,1247713,chhattisgarh
bijapur district,614833,chhattisgarh
bemetara district,1010707,chhattisgarh
bastar district,1879817,chhattisgarh
kondagaon district,820093,chhattisgarh
mahasamund district,2324300,chhattisgarh
dhamtari district,1492243,chhattisgarh
korba district,5626866,chhattisgarh
surajpur district,1886693,chhattisgarh
baloda bazar district,2925957,chhattisgarh
sukma district,505004,chhattisgarh
raigarh district,5959088,chhattisgarh
janjgir champa district,5495226,chhattisgarh
jashpur district,1508729,chhattisgarh
balod district,1477405,chhattisgarh
kabirdham district,1567571,chhattisgarh
surguja district,3182242,chhattisgarh
dantewada district,782199,chhattisgarh
gariyaband district,1056471,chhattisgarh
durg district,11345594,chhattisgarh
rajnandgaon district,3505850,chhattisgarh
raipur district,25836062,chhattisgarh
narayanpur district,277768,chhattisgarh
kanker district,1599699,chhattisgarh
korea district,1909908,chhattisgarh
mungeli district,1074535,chhattisgarh
bilaspur district,9081044,chhattisgarh
balrampur district,1442159,chhattisgarh
bijapur district,651494,chhattisgarh
bemetara district,1259037,chhattisgarh
bastar district,2203676,chhattisgarh
kondagaon district,972613,chhattisgarh
mahasamund district,2788159,chhattisgarh
dhamtari district,1839169,chhattisgarh
korba district,6482877,chhattisgarh
surajpur district,2152901,chhattisgarh
baloda bazar district,3518514,chhattisgarh
sukma district,617457,chhattisgarh
raigarh district,6953143,chhattisgarh
janjgir champa district,6418156,chhattisgarh
jashpur district,1842899,chhattisgarh
balod district,1788680,chhattisgarh
kabirdham district,1890334,chhattisgarh
surguja district,3814390,chhattisgarh
dantewada district,957773,chhattisgarh
gariyaband district,1226883,chhattisgarh
durg district,13554254,chhattisgarh
rajnandgaon district,4284921,chhattisgarh
raipur district,31131873,chhattisgarh
narayanpur district,355877,chhattisgarh
kanker district,1931954,chhattisgarh
korea district,2156896,chhattisgarh
mungeli district,1336917,chhattisgarh
bilaspur district,11026765,chhattisgarh
balrampur district,1652393,chhattisgarh
bijapur district,825640,chhattisgarh
bemetara district,1529354,chhattisgarh
bastar district,2787919,chhattisgarh
kondagaon district,1218095,chhattisgarh
mahasamund district,3288014,chhattisgarh
dhamtari district,1857935,chhattisgarh
korba district,6608931,chhattisgarh
surajpur district,2077425,chhattisgarh
baloda bazar district,3792643,chhattisgarh
sukma district,656635,chhattisgarh
raigarh district,7689276,chhattisgarh
janjgir champa district,6191246,chhattisgarh
jashpur district,1762763,chhattisgarh
balod district,1864797,chhattisgarh
kabirdham district,2192889,chhattisgarh
surguja district,3762924,chhattisgarh
dantewada district,1013017,chhattisgarh
gariyaband district,1288987,chhattisgarh
durg district,40201479,chhattisgarh
rajnandgaon district,4236901,chhattisgarh
raipur district,40322093,chhattisgarh
narayanpur district,364655,chhattisgarh
kanker district,2077996,chhattisgarh
korea district,2080709,chhattisgarh
mungeli district,1408097,chhattisgarh
bilaspur district,13659373,chhattisgarh
balrampur district,1661288,chhattisgarh
bijapur district,844285,chhattisgarh
bemetara district,3218200,chhattisgarh
bastar district,2899716,chhattisgarh
kondagaon district,1218309,chhattisgarh
mahasamund district,3300018,chhattisgarh
dhamtari district,2104649,chhattisgarh
korba district,7598691,chhattisgarh
surajpur district,2453633,chhattisgarh
baloda bazar district,4723545,chhattisgarh
sukma district,725982,chhattisgarh
raigarh district,8475730,chhattisgarh
janjgir champa district,7194881,chhattisgarh
jashpur district,2252299,chhattisgarh
balod district,2049159,chhattisgarh
kabirdham district,2517731,chhattisgarh
surguja district,4530080,chhattisgarh
dantewada district,1172140,chhattisgarh
gariyaband district,1441112,chhattisgarh
durg district,48523671,chhattisgarh
rajnandgaon district,6195224,chhattisgarh
raipur district,38862259,chhattisgarh
narayanpur district,438873,chhattisgarh
kanker district,2602695,chhattisgarh
korea district,2413508,chhattisgarh
mungeli district,1711917,chhattisgarh
bilaspur district,16252139,chhattisgarh
balrampur district,2016933,chhattisgarh
bijapur district,960301,chhattisgarh
bemetara district,1978543,chhattisgarh
bastar district,3447914,chhattisgarh
kondagaon district,1426629,chhattisgarh
mahasamund district,3890208,chhattisgarh
diu district,5593,dadra-&-nagar-haveli-&-daman-&-diu
daman district,50218,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,92738,dadra-&-nagar-haveli-&-daman-&-diu
diu district,6279,dadra-&-nagar-haveli-&-daman-&-diu
daman district,67705,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,128642,dadra-&-nagar-haveli-&-daman-&-diu
diu district,7087,dadra-&-nagar-haveli-&-daman-&-diu
daman district,104637,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,177851,dadra-&-nagar-haveli-&-daman-&-diu
diu district,9502,dadra-&-nagar-haveli-&-daman-&-diu
daman district,147005,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,247575,dadra-&-nagar-haveli-&-daman-&-diu
diu district,16037,dadra-&-nagar-haveli-&-daman-&-diu
daman district,259564,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,386213,dadra-&-nagar-haveli-&-daman-&-diu
diu district,29130,dadra-&-nagar-haveli-&-daman-&-diu
daman district,183953,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,276573,dadra-&-nagar-haveli-&-daman-&-diu
diu district,17203,dadra-&-nagar-haveli-&-daman-&-diu
daman district,235860,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,385688,dadra-&-nagar-haveli-&-daman-&-diu
diu district,21474,dadra-&-nagar-haveli-&-daman-&-diu
daman district,282085,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,465412,dadra-&-nagar-haveli-&-daman-&-diu
diu district,23966,dadra-&-nagar-haveli-&-daman-&-diu
daman district,318808,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,535805,dadra-&-nagar-haveli-&-daman-&-diu
diu district,23866,dadra-&-nagar-haveli-&-daman-&-diu
daman district,342171,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,607115,dadra-&-nagar-haveli-&-daman-&-diu
diu district,26588,dadra-&-nagar-haveli-&-daman-&-diu
daman district,376291,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,735433,dadra-&-nagar-haveli-&-daman-&-diu
diu district,41821,dadra-&-nagar-haveli-&-daman-&-diu
daman district,596994,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,1178976,dadra-&-nagar-haveli-&-daman-&-diu
diu district,42608,dadra-&-nagar-haveli-&-daman-&-diu
daman district,664208,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,1218428,dadra-&-nagar-haveli-&-daman-&-diu
diu district,41014,dadra-&-nagar-haveli-&-daman-&-diu
daman district,733176,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,1350893,dadra-&-nagar-haveli-&-daman-&-diu
diu district,66259,dadra-&-nagar-haveli-&-daman-&-diu
daman district,1083689,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,1979522,dadra-&-nagar-haveli-&-daman-&-diu
diu district,88402,dadra-&-nagar-haveli-&-daman-&-diu
daman district,1417153,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,2651530,dadra-&-nagar-haveli-&-daman-&-diu
diu district,94833,dadra-&-nagar-haveli-&-daman-&-diu
daman district,1629797,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,3078173,dadra-&-nagar-haveli-&-daman-&-diu
diu district,130835,dadra-&-nagar-haveli-&-daman-&-diu
daman district,1923407,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,3705529,dadra-&-nagar-haveli-&-daman-&-diu
diu district,148559,dadra-&-nagar-haveli-&-daman-&-diu
daman district,2317701,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,3999361,dadra-&-nagar-haveli-&-daman-&-diu
diu district,154870,dadra-&-nagar-haveli-&-daman-&-diu
daman district,2344860,dadra-&-nagar-haveli-&-daman-&-diu
dadra and nagar haveli district,4689855,dadra-&-nagar-haveli-&-daman-&-diu
south district,334361,delhi
central district,2997714,delhi
new delhi district,883737,delhi
west district,545129,delhi
south west district,318199,delhi
south east delhi district,562694,delhi
shahdara district,193886,delhi
north east district,180160,delhi
east district,357904,delhi
north west district,387431,delhi
north district,361539,delhi
south district,513003,delhi
central district,3589206,delhi
new delhi district,1177251,delhi
west district,785457,delhi
south west district,440508,delhi
south east delhi district,767547,delhi
shahdara district,272663,delhi
north east district,230049,delhi
east district,504193,delhi
north west district,575888,delhi
north district,517958,delhi
south district,1009436,delhi
central district,8165361,delhi
new delhi district,2022950,delhi
west district,1402787,delhi
south west district,789269,delhi
south east delhi district,1321135,delhi
shahdara district,481819,delhi
north east district,336347,delhi
east district,990369,delhi
north west district,1071877,delhi
north district,955698,delhi
south district,1769675,delhi
central district,9373395,delhi
new delhi district,3230268,delhi
west district,2678986,delhi
south west district,1535302,delhi
south east delhi district,2675009,delhi
shahdara district,987533,delhi
north east district,777795,delhi
east district,2073615,delhi
north west district,2221592,delhi
north district,1864549,delhi
south district,2571440,delhi
central district,12885975,delhi
new delhi district,10000765,delhi
west district,3962949,delhi
south west district,2287011,delhi
south east delhi district,4177871,delhi
shahdara district,1402956,delhi
north east district,1085347,delhi
east district,3074036,delhi
north west district,3030848,delhi
north district,2528129,delhi
south district,2809313,delhi
central district,8821530,delhi
new delhi district,23313548,delhi
west district,4273168,delhi
south west district,2441752,delhi
south east delhi district,4093477,delhi
shahdara district,1439856,delhi
north east district,1142423,delhi
east district,3157212,delhi
north west district,3032525,delhi
north district,2646708,delhi
south district,4067756,delhi
central district,10383905,delhi
new delhi district,24687138,delhi
west district,5923192,delhi
south west district,3392924,delhi
south east delhi district,5633818,delhi
shahdara district,1929681,delhi
north east district,1625617,delhi
east district,4260289,delhi
north west district,4036365,delhi
north district,3597191,delhi
south district,4672501,delhi
central district,13130548,delhi
new delhi district,29048107,delhi
west district,6541869,delhi
south west district,3796919,delhi
south east delhi district,6387755,delhi
shahdara district,2149197,delhi
north east district,1871409,delhi
east district,4787770,delhi
north west district,4376687,delhi
north district,3982235,delhi
south district,4578729,delhi
central district,24757650,delhi
new delhi district,17899322,delhi
west district,6627571,delhi
south west district,3956004,delhi
south east delhi district,6523345,delhi
shahdara district,2148023,delhi
north east district,1945559,delhi
east district,4783041,delhi
north west district,4394010,delhi
north district,4134350,delhi
south district,3631140,delhi
central district,17641823,delhi
new delhi district,13713658,delhi
west district,5753319,delhi
south west district,4193591,delhi
south east delhi district,5215263,delhi
shahdara district,1925218,delhi
north east district,2229412,delhi
east district,4005780,delhi
north west district,4270005,delhi
north district,3462809,delhi
south district,4564631,delhi
central district,32203761,delhi
new delhi district,17268250,delhi
west district,8231034,delhi
south west district,5547370,delhi
south east delhi district,7402382,delhi
shahdara district,2832449,delhi
north east district,2910048,delhi
east district,5054670,delhi
north west district,5785656,delhi
north district,4691610,delhi
south district,6797385,delhi
central district,32194168,delhi
new delhi district,19719782,delhi
west district,12092280,delhi
south west district,7745403,delhi
south east delhi district,11414146,delhi
shahdara district,4208254,delhi
north east district,4156966,delhi
east district,7410660,delhi
north west district,8026101,delhi
north district,6775272,delhi
south district,7428356,delhi
central district,54173342,delhi
new delhi district,31953482,delhi
west district,12363374,delhi
south west district,7721739,delhi
south east delhi district,12287216,delhi
shahdara district,4235592,delhi
north east district,4096987,delhi
east district,7874737,delhi
north west district,8024587,delhi
north district,7199592,delhi
south district,7346726,delhi
central district,62131856,delhi
new delhi district,36788618,delhi
west district,12217454,delhi
south west district,8208259,delhi
south east delhi district,11519378,delhi
shahdara district,4234013,delhi
north east district,4567057,delhi
east district,7486985,delhi
north west district,8373397,delhi
north district,7283521,delhi
south district,10381321,delhi
central district,88849847,delhi
new delhi district,50089446,delhi
west district,17186832,delhi
south west district,10691277,delhi
south east delhi district,17254936,delhi
shahdara district,6108459,delhi
north east district,5995497,delhi
east district,10407086,delhi
north west district,11436200,delhi
north district,10359707,delhi
south district,12510023,delhi
central district,111134916,delhi
new delhi district,61634107,delhi
west district,20430656,delhi
south west district,12404698,delhi
south east delhi district,21366628,delhi
shahdara district,7518346,delhi
north east district,7502147,delhi
east district,12092666,delhi
north west district,13585992,delhi
north district,12503180,delhi
south district,13519253,delhi
central district,128309915,delhi
new delhi district,71006225,delhi
west district,22748647,delhi
south west district,13659485,delhi
south east delhi district,23146633,delhi
shahdara district,8243067,delhi
north east district,8357217,delhi
east district,13032988,delhi
north west district,14899833,delhi
north district,14076598,delhi
south district,17358990,delhi
central district,159034619,delhi
new delhi district,87939392,delhi
west district,28008086,delhi
south west district,16899542,delhi
south east delhi district,29302567,delhi
shahdara district,10060246,delhi
north east district,9992930,delhi
east district,16485686,delhi
north west district,18057230,delhi
north district,17494896,delhi
south district,18234782,delhi
central district,243139962,delhi
new delhi district,58178476,delhi
west district,30595250,delhi
south west district,17276601,delhi
south east delhi district,30215862,delhi
shahdara district,10220528,delhi
north east district,10077560,delhi
east district,21104584,delhi
north west district,18316480,delhi
north district,18232076,delhi
south district,19537728,delhi
central district,280960656,delhi
new delhi district,45094468,delhi
west district,32293188,delhi
south west district,18499176,delhi
south east delhi district,33116019,delhi
shahdara district,11420073,delhi
north east district,11345971,delhi
east district,23683133,delhi
north west district,19859098,delhi
north district,19393947,delhi
north goa district,95114,goa
south goa district,65783,goa
north goa district,133429,goa
south goa district,96146,goa
north goa district,194726,goa
south goa district,144785,goa
north goa district,305380,goa
south goa district,209375,goa
north goa district,441807,goa
south goa district,297005,goa
north goa district,470250,goa
south goa district,298191,goa
north goa district,673971,goa
south goa district,418445,goa
north goa district,980231,goa
south goa district,535041,goa
north goa district,1277387,goa
south goa district,603850,goa
north goa district,883695,goa
south goa district,598397,goa
north goa district,1165122,goa
south goa district,750409,goa
north goa district,2504378,goa
south goa district,1297003,goa
north goa district,3797921,goa
south goa district,1533628,goa
north goa district,3083639,goa
south goa district,1626496,goa
north goa district,4282602,goa
south goa district,2185161,goa
north goa district,7808548,goa
south goa district,3280211,goa
north goa district,8513573,goa
south goa district,3700525,goa
north goa district,9999773,goa
south goa district,4216281,goa
north goa district,8310698,goa
south goa district,4877989,goa
north goa district,11455490,goa
south goa district,5737184,goa
anand district,166658,gujarat
jamnagar district,121341,gujarat
devbhumi dwarka district,30538,gujarat
rajkot district,219190,gujarat
aravallis district,55016,gujarat
chhotaudepur district,12962,gujarat
botad district,50541,gujarat
bharuch district,210073,gujarat
bhavnagar district,182948,gujarat
junagadh district,56897,gujarat
mahesana district,227748,gujarat
the dangs district,5441,gujarat
kheda district,104154,gujarat
surat district,983723,gujarat
porbandar district,16381,gujarat
gandhinagar district,237393,gujarat
panch mahals district,86317,gujarat
narmada district,13920,gujarat
gir somnath district,49292,gujarat
valsad district,168659,gujarat
mahisagar district,25888,gujarat
sabar kantha district,105266,gujarat
tapi district,29217,gujarat
vadodara district,387998,gujarat
banas kantha district,237457,gujarat
amreli district,66032,gujarat
ahmadabad district,1436152,gujarat
dohad district,39278,gujarat
navsari district,159975,gujarat
patan district,105705,gujarat
kachchh district,217912,gujarat
surendranagar district,80486,gujarat
morbi district,58217,gujarat
anand district,200941,gujarat
jamnagar district,157949,gujarat
devbhumi dwarka district,39911,gujarat
rajkot district,283913,gujarat
aravallis district,68943,gujarat
chhotaudepur district,18298,gujarat
botad district,73201,gujarat
bharuch district,289862,gujarat
bhavnagar district,253332,gujarat
junagadh district,71257,gujarat
mahesana district,286014,gujarat
the dangs district,7935,gujarat
kheda district,140355,gujarat
surat district,1310963,gujarat
porbandar district,23157,gujarat
gandhinagar district,315542,gujarat
panch mahals district,98663,gujarat
narmada district,22076,gujarat
gir somnath district,62910,gujarat
valsad district,233931,gujarat
mahisagar district,36682,gujarat
sabar kantha district,129122,gujarat
tapi district,40069,gujarat
vadodara district,528893,gujarat
banas kantha district,307928,gujarat
amreli district,82377,gujarat
ahmadabad district,1809774,gujarat
dohad district,47285,gujarat
navsari district,200818,gujarat
patan district,135797,gujarat
kachchh district,287874,gujarat
surendranagar district,102043,gujarat
morbi district,77918,gujarat
anand district,323633,gujarat
jamnagar district,205815,gujarat
devbhumi dwarka district,52981,gujarat
rajkot district,402342,gujarat
aravallis district,104593,gujarat
chhotaudepur district,24361,gujarat
botad district,144375,gujarat
bharuch district,480222,gujarat
bhavnagar district,374470,gujarat
junagadh district,81925,gujarat
mahesana district,464894,gujarat
the dangs district,10218,gujarat
kheda district,206410,gujarat
surat district,1899586,gujarat
porbandar district,30518,gujarat
gandhinagar district,479518,gujarat
panch mahals district,126887,gujarat
narmada district,30132,gujarat
gir somnath district,122507,gujarat
valsad district,342131,gujarat
mahisagar district,36935,gujarat
sabar kantha district,159109,gujarat
tapi district,47427,gujarat
vadodara district,773456,gujarat
banas kantha district,396566,gujarat
amreli district,123454,gujarat
ahmadabad district,2600288,gujarat
dohad district,88911,gujarat
navsari district,264465,gujarat
patan district,274613,gujarat
kachchh district,421411,gujarat
surendranagar district,126809,gujarat
morbi district,113187,gujarat
anand district,409783,gujarat
jamnagar district,254856,gujarat
devbhumi dwarka district,69269,gujarat
rajkot district,472933,gujarat
aravallis district,113023,gujarat
chhotaudepur district,39167,gujarat
botad district,116616,gujarat
bharuch district,603122,gujarat
bhavnagar district,439954,gujarat
junagadh district,112596,gujarat
mahesana district,529470,gujarat
the dangs district,13830,gujarat
kheda district,249181,gujarat
surat district,2225031,gujarat
porbandar district,37241,gujarat
gandhinagar district,693588,gujarat
panch mahals district,171008,gujarat
narmada district,45497,gujarat
gir somnath district,111341,gujarat
valsad district,468363,gujarat
mahisagar district,54204,gujarat
sabar kantha district,221346,gujarat
tapi district,67133,gujarat
vadodara district,1047381,gujarat
banas kantha district,529655,gujarat
amreli district,158887,gujarat
ahmadabad district,3990090,gujarat
dohad district,81195,gujarat
navsari district,325071,gujarat
patan district,237077,gujarat
kachchh district,537116,gujarat
surendranagar district,169568,gujarat
morbi district,138711,gujarat
anand district,653012,gujarat
jamnagar district,359824,gujarat
devbhumi dwarka district,91088,gujarat
rajkot district,709607,gujarat
aravallis district,159845,gujarat
chhotaudepur district,45581,gujarat
botad district,199203,gujarat
bharuch district,926374,gujarat
bhavnagar district,592732,gujarat
junagadh district,150708,gujarat
mahesana district,899763,gujarat
the dangs district,19568,gujarat
kheda district,379687,gujarat
surat district,3283182,gujarat
porbandar district,54684,gujarat
gandhinagar district,1244457,gujarat
panch mahals district,257869,gujarat
narmada district,58399,gujarat
gir somnath district,138776,gujarat
valsad district,750124,gujarat
mahisagar district,76233,gujarat
sabar kantha district,333162,gujarat
tapi district,91479,gujarat
vadodara district,1655864,gujarat
banas kantha district,805139,gujarat
amreli district,203985,gujarat
ahmadabad district,7894660,gujarat
dohad district,109362,gujarat
navsari district,1112006,gujarat
patan district,386337,gujarat
kachchh district,895127,gujarat
surendranagar district,262050,gujarat
morbi district,191564,gujarat
anand district,484273,gujarat
jamnagar district,316899,gujarat
devbhumi dwarka district,78499,gujarat
rajkot district,724751,gujarat
aravallis district,143867,gujarat
chhotaudepur district,46321,gujarat
botad district,149057,gujarat
bharuch district,747899,gujarat
bhavnagar district,484097,gujarat
junagadh district,138117,gujarat
mahesana district,715052,gujarat
the dangs district,19973,gujarat
kheda district,320063,gujarat
surat district,3047988,gujarat
porbandar district,53378,gujarat
gandhinagar district,1205404,gujarat
panch mahals district,208444,gujarat
narmada district,52784,gujarat
gir somnath district,129149,gujarat
valsad district,623926,gujarat
mahisagar district,75377,gujarat
sabar kantha district,282442,gujarat
tapi district,91641,gujarat
vadodara district,1717964,gujarat
banas kantha district,642084,gujarat
amreli district,174714,gujarat
ahmadabad district,11689965,gujarat
dohad district,100236,gujarat
navsari district,3136644,gujarat
patan district,306486,gujarat
kachchh district,688449,gujarat
surendranagar district,215183,gujarat
morbi district,170716,gujarat
anand district,955946,gujarat
jamnagar district,418571,gujarat
devbhumi dwarka district,109620,gujarat
rajkot district,1022919,gujarat
aravallis district,210189,gujarat
chhotaudepur district,61668,gujarat
botad district,232943,gujarat
bharuch district,1040617,gujarat
bhavnagar district,724401,gujarat
junagadh district,200701,gujarat
mahesana district,1012086,gujarat
the dangs district,26638,gujarat
kheda district,571200,gujarat
surat district,4447301,gujarat
porbandar district,70391,gujarat
gandhinagar district,1850642,gujarat
panch mahals district,265741,gujarat
narmada district,73335,gujarat
gir somnath district,169575,gujarat
valsad district,823075,gujarat
mahisagar district,92788,gujarat
sabar kantha district,422296,gujarat
tapi district,124784,gujarat
vadodara district,2407408,gujarat
banas kantha district,909575,gujarat
amreli district,244914,gujarat
ahmadabad district,14605589,gujarat
dohad district,144438,gujarat
navsari district,3007618,gujarat
patan district,596754,gujarat
kachchh district,861897,gujarat
surendranagar district,287712,gujarat
morbi district,235317,gujarat
anand district,903182,gujarat
jamnagar district,519408,gujarat
devbhumi dwarka district,133193,gujarat
rajkot district,1134928,gujarat
aravallis district,265103,gujarat
chhotaudepur district,81724,gujarat
botad district,243788,gujarat
bharuch district,1324720,gujarat
bhavnagar district,840951,gujarat
junagadh district,250823,gujarat
mahesana district,1166283,gujarat
the dangs district,32377,gujarat
kheda district,549665,gujarat
surat district,4988183,gujarat
porbandar district,84880,gujarat
gandhinagar district,2081714,gujarat
panch mahals district,350408,gujarat
narmada district,100155,gujarat
gir somnath district,228665,gujarat
valsad district,1028011,gujarat
mahisagar district,125155,gujarat
sabar kantha district,538864,gujarat
tapi district,163136,gujarat
vadodara district,2908059,gujarat
banas kantha district,1087381,gujarat
amreli district,310698,gujarat
ahmadabad district,15696056,gujarat
dohad district,187238,gujarat
navsari district,2986534,gujarat
patan district,541423,gujarat
kachchh district,1023587,gujarat
surendranagar district,363831,gujarat
morbi district,307509,gujarat
anand district,1002410,gujarat
jamnagar district,535915,gujarat
devbhumi dwarka district,163208,gujarat
rajkot district,1339770,gujarat
aravallis district,346292,gujarat
chhotaudepur district,105994,gujarat
botad district,237947,gujarat
bharuch district,1525995,gujarat
bhavnagar district,922982,gujarat
junagadh district,285216,gujarat
mahesana district,1294012,gujarat
the dangs district,40179,gujarat
kheda district,639593,gujarat
surat district,6801887,gujarat
porbandar district,100021,gujarat
gandhinagar district,2337267,gujarat
panch mahals district,448015,gujarat
narmada district,125838,gujarat
gir somnath district,270678,gujarat
valsad district,1342508,gujarat
mahisagar district,154457,gujarat
sabar kantha district,641078,gujarat
tapi district,204716,gujarat
vadodara district,3398524,gujarat
banas kantha district,1429235,gujarat
amreli district,327785,gujarat
ahmadabad district,17950876,gujarat
dohad district,238828,gujarat
navsari district,434441,gujarat
patan district,594745,gujarat
kachchh district,1305996,gujarat
surendranagar district,421057,gujarat
morbi district,358952,gujarat
anand district,903716,gujarat
jamnagar district,598458,gujarat
devbhumi dwarka district,214944,gujarat
rajkot district,1360781,gujarat
aravallis district,482363,gujarat
chhotaudepur district,174739,gujarat
botad district,378175,gujarat
bharuch district,1673375,gujarat
bhavnagar district,1215195,gujarat
junagadh district,407623,gujarat
mahesana district,1592579,gujarat
the dangs district,62526,gujarat
kheda district,784245,gujarat
surat district,5654552,gujarat
porbandar district,134329,gujarat
